Actual,COI,SimRep,Similarity,Diff
False,False,0.9902817477388832,0.9856482883634996,0.0046334593753836195
False,False,0.9902815830981974,0.9823460451664012,0.007935537931796133
False,False,0.9902810506988444,0.8757794000054865,0.11450165069335794
False,False,0.990236271171267,0.9835940892727776,0.006642181898489419
False,False,0.9902313684810968,0.967220352051524,0.023011016429572817
False,False,0.990210524049046,0.9896707935734392,0.0005397304756067367
False,False,0.9901862394428632,0.9602274698422628,0.0299587696006004
False,False,0.9901433112523296,0.950038649709192,0.04010466154313752
False,False,0.9901308030043268,0.9379279025155092,0.052202900488817594
False,False,0.9901293360610882,0.985277402101694,0.004851933959394206
False,False,0.9900997374369408,0.93052290545786,0.05957683197908081
False,False,0.9900873702777928,0.9952876948926188,-0.005200324614826002
False,False,0.9900782627233218,0.983258515473011,0.006819747250310759
